id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29424522,1-bed/ba  PR condo Wyn.  Midtown 45 Thanksgiving,30616847,Martha,Manhattan,Midtown,40.75322,-73.97353000000001,Private room,500,3,0,,,1,365
30193034,*NO GUEST SERVICE FEE* Beekman Tower Studio Suite  #12,205031545,Red Awning,Manhattan,Midtown,40.754,-73.96531,Entire home/apt,675,28,6,2019-04-25,0.95,49,253
576227,Bright and Spacious Manhattan,2834840,Sheri,Manhattan,Harlem,40.82446,-73.95274,Private room,700,28,4,2016-10-03,0.05,1,22
35189052,Beautiful Brooklyn Brownstone next to Park,26620387,Louise,Brooklyn,Park Slope,40.66737,-73.9747,Entire home/apt,945,4,0,,,1,19
9132731,"2800 SQ FT Loft for Off-Sites, Events, & Shoots",6674503,Evelyn,Brooklyn,Clinton Hill,40.68567,-73.96271999999999,Entire home/apt,750,1,6,2019-06-14,0.17,1,365
2361020,URBAN CHIC VIDEO/PHOTO SHOOTS ONLY,5535265,Krystal,Brooklyn,Bedford-Stuyvesant,40.68172,-73.93236,Entire home/apt,500,1,11,2015-10-20,0.19,1,365
21762711,Large House in Brooklyn near Express Subway,158554204,Su,Brooklyn,Bedford-Stuyvesant,40.67917,-73.93103,Entire home/apt,700,1,7,2019-06-01,0.42,1,303
1567225,"NYC LARGE 3 BR West Side Manhattan, New York City",8336526,Matthew,Manhattan,Upper West Side,40.78024,-73.97941999999999,Entire home/apt,550,4,17,2019-04-29,0.27,1,201
1147507,RUSTIC/MODERN/EV/NYC,5523186,Mark,Manhattan,East Village,40.73032,-73.98469,Entire home/apt,750,3,9,2018-08-30,0.18,2,364
30193428,*NO GUEST SERVICE FEE* Beekman Tower One Bedroom Suite  #9,205031545,Red Awning,Manhattan,Midtown,40.75271,-73.96638,Entire home/apt,714,28,0,,,49,257
15799603,Noisy room next to Prospect Park,391488,Thalith,Brooklyn,Prospect-Lefferts Gardens,40.65762,-73.96129,Private room,500,1,0,,,1,89
